                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9556,                 3.4252,                 2.7217,                0.04155,                0.65657,                0.05276,                  0.013,                 3.1044,                 2.6681,                 3.2092,                0.00036,                0.00036,                0.00036
                      2,                 2.1801,                 2.0626,                 2.0734,                0.22004,                0.37778,                   0.17,                0.05107,                 2.6262,                 2.1999,                 2.6172,             0.00073634,             0.00073634,             0.00073634
                      3,                 1.4594,                 1.5909,                 1.5336,                 0.4903,                0.56465,                0.48467,                0.31214,                 1.3686,                 1.5862,                 1.6809,              0.0011089,              0.0011089,              0.0011089
                      4,                 1.1158,                 1.3361,                 1.2759,                0.46978,                0.49495,                0.43412,                0.33165,                 1.0242,                 1.6317,                 1.2551,              0.0014777,              0.0014777,              0.0014777
                      5,                 1.0184,                 1.2158,                 1.2406,                0.66638,                0.69192,                0.69511,                0.57202,                0.74233,                 1.1057,                 1.0984,              0.0018428,              0.0018428,              0.0018428
                      6,                0.92198,                 1.0978,                 1.1619,                 0.6459,                0.74949,                0.68679,                 0.5612,                0.73254,                0.99847,                 1.0596,              0.0019505,              0.0019505,              0.0019505
                      7,                0.91382,                 1.0439,                 1.1656,                0.71897,                0.73535,                0.73974,                0.62002,                0.66325,                0.90013,                 1.0368,              0.0019505,              0.0019505,              0.0019505
                      8,                0.82755,                0.97896,                 1.1044,                0.72662,                0.72221,                0.75882,                0.65681,                0.60302,                0.91973,                0.98102,              0.0019406,              0.0019406,              0.0019406
                      9,                0.78675,                0.90668,                 1.0827,                0.68765,                0.80707,                0.77154,                0.66018,                0.61806,                0.80848,                 0.9957,              0.0019307,              0.0019307,              0.0019307
                     10,                0.77774,                0.89311,                 1.0698,                0.73438,                0.79596,                0.77228,                0.66125,                0.59923,                0.79568,                0.97966,              0.0019208,              0.0019208,              0.0019208
                     11,                0.75707,                0.89441,                 1.0695,                0.76347,                0.80101,                0.80001,                0.68321,                0.58146,                0.82175,                0.96584,              0.0019109,              0.0019109,              0.0019109
                     12,                0.76158,                0.86856,                  1.074,                0.76395,                0.79899,                0.80609,                0.68472,                0.60895,                0.79552,                0.98851,               0.001901,               0.001901,               0.001901
                     13,                0.74366,                0.83903,                 1.0541,                0.78093,                0.82626,                0.82795,                0.71437,                0.57739,                0.71554,                0.95723,              0.0018911,              0.0018911,              0.0018911
                     14,                0.73206,                0.83745,                 1.0646,                 0.7895,                0.78485,                0.81208,                0.71007,                0.54104,                0.70799,                0.94012,              0.0018812,              0.0018812,              0.0018812
                     15,                 0.7128,                0.79882,                 1.0502,                0.79374,                0.81919,                0.82694,                0.72271,                0.55504,                 0.6943,                 0.9502,              0.0018713,              0.0018713,              0.0018713
                     16,                0.73194,                0.79216,                  1.046,                0.76319,                0.82626,                0.82664,                0.72131,                0.55188,                0.68873,                0.94937,              0.0018614,              0.0018614,              0.0018614
                     17,                0.69776,                 0.7792,                 1.0316,                0.79715,                 0.8296,                0.84149,                0.73365,                0.55546,                0.65922,                0.94937,              0.0018515,              0.0018515,              0.0018515
                     18,                0.68691,                0.77888,                  1.026,                0.81839,                0.78788,                0.83963,                0.73169,                0.54558,                0.74115,                0.94803,              0.0018416,              0.0018416,              0.0018416
                     19,                0.66892,                0.75467,                 1.0119,                0.78044,                0.84375,                0.84659,                0.74477,                0.54108,                0.78184,                0.94024,              0.0018317,              0.0018317,              0.0018317
                     20,                0.67407,                0.71649,                 1.0064,                0.81719,                0.80101,                0.84062,                0.74132,                0.51942,                 0.7111,                0.93449,              0.0018218,              0.0018218,              0.0018218
                     21,                0.65574,                0.71441,                 1.0085,                0.79532,                0.82033,                0.83847,                0.72959,                0.53972,                0.65312,                0.94444,              0.0018119,              0.0018119,              0.0018119
                     22,                 0.6744,                0.73393,                 1.0159,                0.81794,                0.81717,                0.84354,                0.74436,                0.52705,                0.63811,                0.94225,               0.001802,               0.001802,               0.001802
